Phenotype,Source
union#D224#Melanocytic naevi of scalp and neck,Binary
union#D225#Melanocytic naevi of trunk,Binary
union#D226#Melanocytic naevi of upper limb including shoulder,Binary
union#D227#Melanocytic naevi of lower limb including hip,Binary
union#D229#Melanocytic naevi unspecified,Binary
union#D23#Other benign neoplasms of skin,Binary
union#D230#Benign neoplasm: Skin of lip,Binary
union#D231#Benign neoplasm: Skin of eyelid including canthus,Binary
union#D232#Benign neoplasm: Skin of ear and external auricular canal,Binary
union#D233#Benign neoplasm: Skin of other and unspecified parts of face,Binary
union#D234#Benign neoplasm: Skin of scalp and neck,Binary
union#D235#Benign neoplasm: Skin of trunk,Binary
union#D236#Benign neoplasm: Skin of upper limb including shoulder,Binary
union#D237#Benign neoplasm: Skin of lower limb including hip,Binary
union#D239#Benign neoplasm: Skin unspecified,Binary
union#D24#Benign neoplasm of breast,Binary
union#D25#Leiomyoma of uterus,Binary
union#D250#Submucous leiomyoma of uterus,Binary
union#D251#Intramural leiomyoma of uterus,Binary
union#D252#Subserosal leiomyoma of uterus,Binary
union#D259#Leiomyoma of uterus unspecified,Binary
union#D26#Other benign neoplasms of uterus,Binary
union#D260#Other benign neoplasm: Cervix uteri,Binary
union#D261#Other benign neoplasm: Corpus uteri,Binary
union#D269#Other benign neoplasm: Uterus unspecified,Binary
union#D27#Benign neoplasm of ovary,Binary
union#D28#Benign neoplasm of other and unspecified female genital organs,Binary
union#D280#Benign neoplasm: Vulva,Binary
union#D281#Benign neoplasm: Vagina,Binary
union#D282#Benign neoplasm: Uterine tubes and ligaments,Binary
union#D29#Benign neoplasm of male genital organs,Binary
union#D291#Benign neoplasm: Prostate,Binary
union#D30#Benign neoplasm of urinary organs,Binary
union#D300#Benign neoplasm: Kidney,Binary
union#D303#Benign neoplasm: Bladder,Binary
union#D31#Benign neoplasm of eye and adnexa,Binary
union#D310#Benign neoplasm: Conjunctiva,Binary
union#D313#Benign neoplasm: Choroid,Binary
union#D32#Benign neoplasm of meninges,Binary
union#D320#Benign neoplasm: Cerebral meninges,Binary
union#D321#Benign neoplasm: Spinal meninges,Binary
union#D329#Benign neoplasm: Meninges unspecified,Binary
union#D33#Benign neoplasm of brain and other parts of central nervous system,Binary
union#D330#Benign neoplasm: Brain supratentorial,Binary
union#D332#Benign neoplasm: Brain unspecified,Binary
union#D333#Benign neoplasm: Cranial nerves,Binary
union#D334#Benign neoplasm: Spinal cord,Binary
union#D34#Benign neoplasm of thyroid gland,Binary
union#D35#Benign neoplasm of other and unspecified endocrine glands,Binary
union#D350#Benign neoplasm: Adrenal gland,Binary
union#D351#Benign neoplasm: Parathyroid gland,Binary
union#D352#Benign neoplasm: Pituitary gland,Binary
union#D36#Benign neoplasm of other and unspecified sites,Binary
union#D360#Benign neoplasm: Lymph nodes,Binary
union#D361#Benign neoplasm: Peripheral nerves and autonomic nervous system,Binary
union#D367#Benign neoplasm: Other specified sites,Binary
union#D37#Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Binary
union#D370#Neoplasm of uncertain or unknown behaviour: Lip oral cavity and pharynx,Binary
union#D371#Neoplasm of uncertain or unknown behaviour: Stomach,Binary
union#D372#Neoplasm of uncertain or unknown behaviour: Small intestine,Binary
union#D373#Neoplasm of uncertain or unknown behaviour: Appendix,Binary
union#D374#Neoplasm of uncertain or unknown behaviour: Colon,Binary
union#D375#Neoplasm of uncertain or unknown behaviour: Rectum,Binary
union#D376#Neoplasm of uncertain or unknown behaviour: Liver gallbladder and bile ducts,Binary
union#D377#Neoplasm of uncertain or unknown behaviour: Other digestive organs,Binary
union#D379#Neoplasm of uncertain or unknown behaviour: Digestive organ unspecified,Binary
union#D38#Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Binary
union#D380#Neoplasm of uncertain or unknown behaviour: Larynx,Binary
union#D381#Neoplasm of uncertain or unknown behaviour: Trachea bronchus and lung,Binary
union#D39#Neoplasm of uncertain or unknown behaviour of female genital organs,Binary
union#D390#Neoplasm of uncertain or unknown behaviour: Uterus,Binary
union#D391#Neoplasm of uncertain or unknown behaviour: Ovary,Binary
union#D40#Neoplasm of uncertain or unknown behaviour of male genital organs,Binary
union#D400#Neoplasm of uncertain or unknown behaviour: Prostate,Binary
union#D401#Neoplasm of uncertain or unknown behaviour: Testis,Binary
union#D41#Neoplasm of uncertain or unknown behaviour of urinary organs,Binary
union#D410#Neoplasm of uncertain or unknown behaviour: Kidney,Binary
union#D411#Neoplasm of uncertain or unknown behaviour: Renal pelvis,Binary
union#D412#Neoplasm of uncertain or unknown behaviour: Ureter,Binary
union#D414#Neoplasm of uncertain or unknown behaviour: Bladder,Binary
union#D42#Neoplasm of uncertain or unknown behaviour of meninges,Binary
union#D420#Neoplasm of uncertain or unknown behaviour: Cerebral meninges,Binary
union#D43#Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Binary
union#D430#Neoplasm of uncertain or unknown behaviour: Brain supratentorial,Binary
union#D431#Neoplasm of uncertain or unknown behaviour: Brain infratentorial,Binary
union#D432#Neoplasm of uncertain or unknown behaviour: Brain unspecified,Binary
union#D434#Neoplasm of uncertain or unknown behaviour: Spinal cord,Binary
union#D44#Neoplasm of uncertain or unknown behaviour of endocrine glands,Binary
union#D440#Neoplasm of uncertain or unknown behaviour: Thyroid gland,Binary
union#D441#Neoplasm of uncertain or unknown behaviour: Adrenal gland,Binary
union#D443#Neoplasm of uncertain or unknown behaviour: Pituitary gland,Binary
union#D444#Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct,Binary
union#D447#Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia,Binary
union#D45#Polycythaemia vera,Binary
union#D46#Myelodysplastic syndromes,Binary
union#D461#Refractory anaemia with ring sideroblasts,Binary
union#D462#Refractory anaemia with excess of blasts [RAEB],Binary
union#D464#Refractory anaemia unspecified,Binary
union#D465#Refractory anaemia with multi-lineage dysplasia,Binary
union#D467#Other myelodysplastic syndromes,Binary
union#D469#Myelodysplastic syndrome unspecified,Binary
union#D47#Other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,Binary
union#D471#Chronic myeloproliferative disease,Binary
union#D472#Monoclonal gammopathy of undetermined significance (MGUS),Binary
union#D473#Essential (haemorrhagic) thrombocythaemia,Binary
union#D474#Osteomyelofibrosis,Binary
union#D479#Neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified,Binary
union#D48#Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Binary
union#D480#Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,Binary
union#D481#Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,Binary
union#D485#Neoplasm of uncertain or unknown behaviour: Skin,Binary
union#D486#Neoplasm of uncertain or unknown behaviour: Breast,Binary
union#D487#Neoplasm of uncertain or unknown behaviour: Other specified sites,Binary
union#D489#Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour unspecified,Binary
union#D50#Iron deficiency anaemia,Binary
union#D500#Iron deficiency anaemia secondary to blood loss (chronic),Binary
union#D508#Other iron deficiency anaemias,Binary
union#D509#Iron deficiency anaemia unspecified,Binary
union#D52#Folate deficiency anaemia,Binary
union#D529#Folate deficiency anaemia unspecified,Binary
union#D53#Other nutritional anaemias,Binary
union#D539#Nutritional anaemia unspecified,Binary
union#D56#Thalassaemia,Binary
union#D561#Beta thalassaemia,Binary
union#D563#Thalassaemia trait,Binary
union#D569#Thalassaemia unspecified,Binary
union#D57#Sickle-cell disorders,Binary
union#D58#Other hereditary haemolytic anaemias,Binary
union#D580#Hereditary spherocytosis,Binary
union#D589#Hereditary haemolytic anaemia unspecified,Binary
union#D59#Acquired haemolytic anaemia,Binary
union#D591#Other autoimmune haemolytic anaemias,Binary
union#D599#Acquired haemolytic anaemia unspecified,Binary
union#D61#Other aplastic anaemias,Binary
union#D611#Drug-induced aplastic anaemia,Binary
union#D619#Aplastic anaemia unspecified,Binary
union#D62#Acute posthaemorrhagic anaemia,Binary
union#D63#Anaemia in chronic diseases classified elsewhere,Binary
union#D630#Anaemia in neoplastic disease,Binary
union#D638#Anaemia in other chronic diseases classified elsewhere,Binary
union#D64#Other anaemias,Binary
union#D648#Other specified anaemias,Binary
union#D649#Anaemia unspecified,Binary
union#D65#Disseminated intravascular coagulation [defibrination syndrome],Binary
union#D66#Hereditary factor VIII deficiency,Binary
union#D68#Other coagulation defects,Binary
union#D680#Von Willebrand disease,Binary
union#D681#Hereditary factor XI deficiency,Binary
union#D682#Hereditary deficiency of other clotting factors,Binary
union#D683#Haemorrhagic disorder due to circulating anticoagulants,Binary
union#D685#Primary Thrombophilia,Binary
union#D686#Other Thrombophilia,Binary
union#D688#Other specified coagulation defects,Binary
union#D689#Coagulation defect unspecified,Binary
union#D69#Purpura and other haemorrhagic conditions,Binary
union#D690#Allergic purpura,Binary
union#D692#Other nonthrombocytopenic purpura,Binary
union#D693#Idiopathic thrombocytopenic purpura,Binary
union#D694#Other primary thrombocytopenia,Binary
union#D695#Secondary thrombocytopenia,Binary
union#D696#Thrombocytopenia unspecified,Binary
union#D699#Haemorrhagic condition unspecified,Binary
union#D70#Agranulocytosis,Binary
union#D72#Other disorders of white blood cells,Binary
union#D721#Eosinophilia,Binary
union#D728#Other specified disorders of white blood cells,Binary
union#D73#Diseases of spleen,Binary
union#D730#Hyposplenism,Binary
union#D731#Hypersplenism,Binary
union#D734#Cyst of spleen,Binary
union#D735#Infarction of spleen,Binary
union#D738#Other diseases of spleen,Binary
union#D739#Disease of spleen unspecified,Binary
union#D75#Other diseases of blood and blood-forming organs,Binary
union#D750#Familial erythrocytosis,Binary
union#D751#Secondary polycythaemia,Binary
union#D752#D752 Essential thrombocytosis,Binary
union#D758#Other specified diseases of blood and blood-forming organs,Binary
union#D759#Disease of blood and blood-forming organs unspecified,Binary
union#D76#Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,Binary
union#D763#Other histiocytosis syndromes,Binary
union#D80#Immunodeficiency with predominantly antibody defects,Binary
union#D801#Nonfamilial hypogammaglobulinaemia,Binary
union#D802#Selective deficiency of immunoglobulin A [IgA],Binary
union#D803#Selective deficiency of immunoglobulin G [IgG] subclasses,Binary
union#D82#Immunodeficiency associated with other major defects,Binary
union#D83#Common variable immunodeficiency,Binary
union#D839#Common variable immunodeficiency unspecified,Binary
union#D84#Other immunodeficiencies,Binary
union#D849#Immunodeficiency unspecified,Binary
union#D86#Sarcoidosis,Binary
union#D860#Sarcoidosis of lung,Binary
union#D861#Sarcoidosis of lymph nodes,Binary
union#D863#Sarcoidosis of skin,Binary
union#D868#Sarcoidosis of other and combined sites,Binary
union#D869#Sarcoidosis unspecified,Binary
union#D89#Other disorders involving the immune mechanism not elsewhere classified,Binary
union#D890#Polyclonal hypergammaglobulinaemia,Binary
union#D891#Cryoglobulinaemia,Binary
union#D892#Hypergammaglobulinaemia unspecified,Binary
union#D898#Other specified disorders involving the immune mechanism not elsewhere classified,Binary
union#D899#Disorder involving the immune mechanism unspecified,Binary
union#E01#Iodine-deficiency-related thyroid disorders and allied conditions,Binary
union#E02#Subclinical iodine-deficiency hypothyroidism,Binary
union#E03#Other hypothyroidism,Binary
union#E030#Congenital hypothyroidism with diffuse goitre,Binary
union#E032#Hypothyroidism due to medicaments and other exogenous substances,Binary
union#E038#Other specified hypothyroidism,Binary
union#E039#Hypothyroidism unspecified,Binary
union#E04#Other nontoxic goitre,Binary
union#E040#Nontoxic diffuse goitre,Binary
union#E041#Nontoxic single thyroid nodule,Binary
union#E042#Nontoxic multinodular goitre,Binary
union#E049#Nontoxic goitre unspecified,Binary
union#E05#Thyrotoxicosis [hyperthyroidism],Binary
union#E050#Thyrotoxicosis with diffuse goitre,Binary
union#E052#Thyrotoxicosis with toxic multinodular goitre,Binary
union#E058#Other thyrotoxicosis,Binary
union#E059#Thyrotoxicosis unspecified,Binary
union#E06#Thyroiditis,Binary
union#E063#Autoimmune thyroiditis,Binary
union#E069#Thyroiditis unspecified,Binary
union#E07#Other disorders of thyroid,Binary
union#E078#Other specified disorders of thyroid,Binary
union#E079#Disorder of thyroid unspecified,Binary
union#E10#Type 1 diabetes mellitus,Binary
union#E100#Type 1 diabetes mellitus; With coma,Binary
union#E101#Type 1 diabetes mellitus; With ketoacidosis,Binary
union#E102#Type 1 diabetes mellitus; With renal complications,Binary
union#E103#Type 1 diabetes mellitus; With ophthalmic complications,Binary
union#E104#Type 1 diabetes mellitus; With neurological complications,Binary
union#E105#Type 1 diabetes mellitus; With peripheral circulatory complications,Binary
union#E106#Type 1 diabetes mellitus; With other specified complications,Binary
union#E108#Type 1 diabetes mellitus; With unspecified complications,Binary
union#E109#Type 1 diabetes mellitus; Without complications,Binary
union#E11#Type 2 diabetes mellitus,Binary
union#E110#Type 2 diabetes mellitus; With coma,Binary
union#E111#Type 2 diabetes mellitus; With ketoacidosis,Binary
union#E112#Type 2 diabetes mellitus; With renal complications,Binary
union#E113#Type 2 diabetes mellitus; With ophthalmic complications,Binary
union#E114#Type 2 diabetes mellitus; With neurological complications,Binary
union#E115#Type 2 diabetes mellitus; With peripheral circulatory complications,Binary
union#E116#Type 2 diabetes mellitus; With other specified complications,Binary
union#E117#Type 2 diabetes mellitus; With multiple complications,Binary
union#E118#Type 2 diabetes mellitus; With unspecified complications,Binary
union#E119#Type 2 diabetes mellitus; Without complications,Binary
union#E13#Other specified diabetes mellitus,Binary
union#E139#Other specified diabetes mellitus; Without complications,Binary
union#E14#Unspecified diabetes mellitus,Binary
union#E141#Unspecified diabetes mellitus; With ketoacidosis,Binary
union#E142#Unspecified diabetes mellitus; With renal complications,Binary
union#E143#Unspecified diabetes mellitus; With ophthalmic complications,Binary
union#E144#Unspecified diabetes mellitus; With neurological complications,Binary
union#E145#Unspecified diabetes mellitus; With peripheral circulatory complications,Binary
union#E149#Unspecified diabetes mellitus; Without complications,Binary
union#E16#Other disorders of pancreatic internal secretion,Binary
union#E160#Drug-induced hypoglycaemia without coma,Binary
union#E161#Other hypoglycaemia,Binary
union#E162#Hypoglycaemia unspecified,Binary
union#E20#Hypoparathyroidism,Binary
union#E209#Hypoparathyroidism unspecified,Binary
union#E21#Hyperparathyroidism and other disorders of parathyroid gland,Binary
union#E210#Primary hyperparathyroidism,Binary
union#E211#Secondary hyperparathyroidism not elsewhere classified,Binary
union#E212#Other hyperparathyroidism,Binary
union#E213#Hyperparathyroidism unspecified,Binary
union#E215#Disorder of parathyroid gland unspecified,Binary
union#E22#Hyperfunction of pituitary gland,Binary
union#E220#Acromegaly and pituitary gigantism,Binary
union#E221#Hyperprolactinaemia,Binary
union#E222#Syndrome of inappropriate secretion of antidiuretic hormone,Binary
union#E23#Hypofunction and other disorders of pituitary gland,Binary
union#E230#Hypopituitarism,Binary
union#E232#Diabetes insipidus,Binary
union#E236#Other disorders of pituitary gland,Binary
union#E237#Disorder of pituitary gland unspecified,Binary
union#E24#Cushing syndrome,Binary
union#E240#Pituitary-dependent Cushing disease,Binary
union#E242#Drug-induced Cushing syndrome,Binary
union#E249#Cushing syndrome unspecified,Binary
union#E26#Hyperaldosteronism,Binary
union#E260#Primary hyperaldosteronism,Binary
union#E27#Other disorders of adrenal gland,Binary
union#E271#Primary adrenocortical insufficiency,Binary
union#E272#Addisonian crisis,Binary
union#E273#Drug-induced adrenocortical insufficiency,Binary
union#E274#Other and unspecified adrenocortical insufficiency,Binary
union#E278#Other specified disorders of adrenal gland,Binary
union#E279#Disorder of adrenal gland unspecified,Binary
union#E28#Ovarian dysfunction,Binary
union#E282#Polycystic ovarian syndrome,Binary
union#E283#Primary ovarian failure,Binary
union#E29#Testicular dysfunction,Binary
union#E291#Testicular hypofunction,Binary
union#E32#Diseases of thymus,Binary
union#E34#Other endocrine disorders,Binary
union#E340#Carcinoid syndrome,Binary
union#E348#Other specified endocrine disorders,Binary
union#E349#Endocrine disorder unspecified,Binary
union#E46#Unspecified protein-energy malnutrition,Binary
union#E51#Thiamine deficiency,Binary
union#E512#Wernicke encephalopathy,Binary
union#E53#Deficiency of other B group vitamins,Binary
union#E538#Deficiency of other specified B group vitamins,Binary
union#E539#Vitamin B deficiency unspecified,Binary
union#E55#Vitamin D deficiency,Binary
union#E559#Vitamin D deficiency unspecified,Binary
union#E56#Other vitamin deficiencies,Binary
union#E561#Deficiency of vitamin K,Binary
union#E58#Dietary calcium deficiency,Binary
union#E61#Deficiency of other nutrient elements,Binary
union#E611#Iron deficiency,Binary
union#E612#Magnesium deficiency,Binary
union#E63#Other nutritional deficiencies,Binary
union#E65#Localized adiposity,Binary
union#E66#Obesity,Binary
union#E660#Obesity due to excess calories,Binary
union#E662#Extreme obesity with alveolar hypoventilation,Binary
union#E668#Other obesity,Binary
union#E669#Obesity unspecified,Binary
union#E70#Disorders of aromatic amino-acid metabolism,Binary
union#E72#Other disorders of amino-acid metabolism,Binary
union#E73#Lactose intolerance,Binary
union#E739#Lactose intolerance unspecified,Binary
union#E74#Other disorders of carbohydrate metabolism,Binary
union#E743#Other disorders of intestinal carbohydrate absorption,Binary
union#E75#Disorders of sphingolipid metabolism and other lipid storage disorders,Binary
union#E755#Other lipid storage disorders,Binary
union#E78#Disorders of lipoprotein metabolism and other lipidaemias,Binary
union#E780#Pure hypercholesterolaemia,Binary
union#E781#Pure hyperglyceridaemia,Binary
union#E782#Mixed hyperlipidaemia,Binary
union#E784#Other hyperlipidaemia,Binary
union#E785#Hyperlipidaemia unspecified,Binary
union#E786#Lipoprotein deficiency,Binary
union#E788#Other disorders of lipoprotein metabolism,Binary
union#E789#Disorder of lipoprotein metabolism unspecified,Binary
union#E79#Disorders of purine and pyrimidine metabolism,Binary
union#E790#Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,Binary
union#E80#Disorders of porphyrin and bilirubin metabolism,Binary
union#E804#Gilbert syndrome,Binary
union#E806#Other disorders of bilirubin metabolism,Binary
union#E83#Disorders of mineral metabolism,Binary
union#E831#Disorders of iron metabolism,Binary
union#E833#Disorders of phosphorus metabolism and phosphatases,Binary
union#E834#Disorders of magnesium metabolism,Binary
union#E835#Disorders of calcium metabolism,Binary
union#E84#Cystic fibrosis,Binary
union#E85#Amyloidosis,Binary
union#E853#Secondary systemic amyloidosis,Binary
union#E854#Organ-limited amyloidosis,Binary
union#E858#Other amyloidosis,Binary
union#E859#Amyloidosis unspecified,Binary
union#E86#Volume depletion,Binary
union#E87#Other disorders of fluid electrolyte and acid-base balance,Binary
union#E870#Hyperosmolality and hypernatraemia,Binary
union#E871#Hypo-osmolality and hyponatraemia,Binary
union#E872#Acidosis,Binary
union#E873#Alkalosis,Binary
union#E875#Hyperkalaemia,Binary
union#E876#Hypokalaemia,Binary
union#E877#Fluid overload,Binary
union#E878#Other disorders of electrolyte and fluid balance not elsewhere classified,Binary
union#E88#Other metabolic disorders,Binary
union#E880#Disorders of plasma-protein metabolism not elsewhere classified,Binary
union#E881#Lipodystrophy not elsewhere classified,Binary
union#E882#Lipomatosis not elsewhere classified,Binary
union#E883#Tumour lysis syndrome,Binary
union#E888#Other specified metabolic disorders,Binary
union#E889#Metabolic disorder unspecified,Binary
union#F00#Dementia in Alzheimer disease,Binary
union#F000#Dementia in Alzheimer disease with early onset,Binary
union#F001#Dementia in Alzheimer disease with late onset,Binary
union#F002#Dementia in Alzheimer disease atypical or mixed type,Binary
union#F009#Dementia in Alzheimer disease unspecified,Binary
union#F01#Vascular dementia,Binary
union#F011#Multi-infarct dementia,Binary
union#F019#Vascular dementia unspecified,Binary
union#F02#Dementia in other diseases classified elsewhere,Binary
union#F020#Dementia in Pick disease,Binary
union#F023#Dementia in Parkinson disease,Binary
union#F028#Dementia in other specified diseases classified elsewhere,Binary
union#F03#Unspecified dementia,Binary
union#F05#Delirium not induced by alcohol and other psychoactive substances,Binary
union#F050#Delirium not superimposed on dementia so described,Binary
union#F051#Delirium superimposed on dementia,Binary
union#F058#Other delirium,Binary
union#F059#Delirium unspecified,Binary
union#F06#Other mental disorders due to brain damage and dysfunction and to physical disease,Binary
union#F067#Mild cognitive disorder,Binary
union#F070#Organic personality disorder,Binary
union#F072#Postconcussional syndrome,Binary
union#F09#Unspecified organic or symptomatic mental disorder,Binary
union#F17#Mental and behavioural disorders due to use of tobacco,Binary
union#F171#Mental and behavioural disorders due to use of tobacco; Harmful use,Binary
union#F172#Mental and behavioural disorders due to use of tobacco; Dependence syndrome,Binary
union#F179#Mental and behavioural disorders due to use of tobacco; Unspecified mental and behavioural disorder,Binary
union#F20#Schizophrenia,Binary
union#F200#Paranoid schizophrenia,Binary
union#F209#Schizophrenia unspecified,Binary
union#F22#Persistent delusional disorders,Binary
union#F220#Delusional disorder,Binary
union#F229#Persistent delusional disorder unspecified,Binary
union#F23#Acute and transient psychotic disorders,Binary
union#F239#Acute and transient psychotic disorder unspecified,Binary
union#F25#Schizoaffective disorders,Binary
union#F250#Schizoaffective disorder manic type,Binary
union#F251#Schizoaffective disorder depressive type,Binary
union#F259#Schizoaffective disorder unspecified,Binary
union#F29#Unspecified nonorganic psychosis,Binary
union#F30#Manic episode,Binary
union#F300#Hypomania,Binary
union#F302#Mania with psychotic symptoms,Binary
union#F309#Manic episode unspecified,Binary
union#F31#Bipolar affective disorder,Binary
union#F310#Bipolar affective disorder current episode hypomanic,Binary
union#F311#Bipolar affective disorder current episode manic without psychotic symptoms,Binary
union#F312#Bipolar affective disorder current episode manic with psychotic symptoms,Binary
union#F313#Bipolar affective disorder current episode mild or moderate depression,Binary
union#F314#Bipolar affective disorder current episode severe depression without psychotic symptoms,Binary
union#F315#Bipolar affective disorder current episode severe depression with psychotic symptoms,Binary
union#F316#Bipolar affective disorder current episode mixed,Binary
union#F317#Bipolar affective disorder currently in remission,Binary
union#F318#Other bipolar affective disorders,Binary
union#F319#Bipolar affective disorder unspecified,Binary
union#F32#Depressive episode,Binary
union#F320#Mild depressive episode,Binary
union#F321#Moderate depressive episode,Binary
union#F322#Severe depressive episode without psychotic symptoms,Binary
union#F323#Severe depressive episode with psychotic symptoms,Binary
union#F328#Other depressive episodes,Binary
union#F329#Depressive episode unspecified,Binary
union#F33#Recurrent depressive disorder,Binary
union#F330#Recurrent depressive disorder current episode mild,Binary
union#F331#Recurrent depressive disorder current episode moderate,Binary
union#F332#Recurrent depressive disorder current episode severe without psychotic symptoms,Binary
union#F333#Recurrent depressive disorder current episode severe with psychotic symptoms,Binary
union#F339#Recurrent depressive disorder unspecified,Binary
union#F34#Persistent mood [affective] disorders,Binary
union#F341#Dysthymia,Binary
union#F38#Other mood [affective] disorders,Binary
union#F39#Unspecified mood [affective] disorder,Binary
union#F40#Phobic anxiety disorders,Binary
union#F400#Agoraphobia,Binary
union#F402#Specific (isolated) phobias,Binary
union#F408#Other phobic anxiety disorders,Binary
union#F409#Phobic anxiety disorder unspecified,Binary
union#F41#Other anxiety disorders,Binary
union#F410#Panic disorder [episodic paroxysmal anxiety],Binary
union#F411#Generalized anxiety disorder,Binary
union#F412#Mixed anxiety and depressive disorder,Binary
union#F413#Other mixed anxiety disorders,Binary
union#F418#Other specified anxiety disorders,Binary
union#F419#Anxiety disorder unspecified,Binary
union#F42#Obsessive-compulsive disorder,Binary
union#F420#Predominantly obsessional thoughts or ruminations,Binary
union#F429#Obsessive-compulsive disorder unspecified,Binary
union#F43#Reaction to severe stress and adjustment disorders,Binary
union#F430#Acute stress reaction,Binary
union#F431#Post-traumatic stress disorder,Binary
union#F432#Adjustment disorders,Binary
union#F439#Reaction to severe stress unspecified,Binary
union#F44#Dissociative [conversion] disorders,Binary
union#F444#Dissociative motor disorders,Binary
union#F445#Dissociative convulsions,Binary
union#F449#Dissociative [conversion] disorder unspecified,Binary
union#F48#Other neurotic disorders,Binary
union#F480#Neurasthenia,Binary
union#F99#Mental disorder not otherwise specified,Binary
union#G001#Pneumococcal meningitis,Binary
union#G03#Meningitis due to other and unspecified causes,Binary
union#G039#Meningitis unspecified,Binary
union#G04#Encephalitis myelitis and encephalomyelitis,Binary
union#G048#Other encephalitis myelitis and encephalomyelitis,Binary
union#G049#Encephalitis myelitis and encephalomyelitis unspecified,Binary
union#G05#Encephalitis myelitis and encephalomyelitis in diseases classified elsewhere,Binary
union#G06#Intracranial and intraspinal abscess and granuloma,Binary
union#G060#Intracranial abscess and granuloma,Binary
union#G061#Intraspinal abscess and granuloma,Binary
union#G062#Extradural and subdural abscess unspecified,Binary
union#G08#Intracranial and intraspinal phlebitis and thrombophlebitis,Binary
union#G09#Sequelae of inflammatory diseases of central nervous system,Binary
union#G10#Huntington disease,Binary
union#G11#Hereditary ataxia,Binary
union#G114#Hereditary spastic paraplegia,Binary
union#G119#Hereditary ataxia unspecified,Binary
union#G12#Spinal muscular atrophy and related syndromes,Binary
union#G122#Motor neuron disease,Binary
union#G14#Postpolio syndrome,Binary
union#G20#Parkinson disease,Binary
union#G21#Secondary parkinsonism,Binary
union#G211#Other drug-induced secondary parkinsonism,Binary
union#G214#Vascular parkinsonism,Binary
union#G23#Other degenerative diseases of basal ganglia,Binary
union#G231#Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],Binary
union#G232#Multiple system atrophy parkinsonian type [MSA-P],Binary
union#G238#Other specified degenerative diseases of basal ganglia,Binary
union#G24#Dystonia,Binary
union#G240#Drug-induced dystonia,Binary
union#G243#Spasmodic torticollis,Binary
union#G245#Blepharospasm,Binary
union#G248#Other dystonia,Binary
union#G249#Dystonia unspecified,Binary
union#G25#Other extrapyramidal and movement disorders,Binary
union#G250#Essential tremor,Binary
union#G251#Drug-induced tremor,Binary
union#G252#Other specified forms of tremor,Binary
union#G253#Myoclonus,Binary
union#G258#Other specified extrapyramidal and movement disorders,Binary
union#G259#Extrapyramidal and movement disorder unspecified,Binary
union#G30#Alzheimer disease,Binary
union#G300#Alzheimer disease with early onset,Binary
union#G301#Alzheimer disease with late onset,Binary
union#G308#Other Alzheimer disease,Binary
union#G309#Alzheimer disease unspecified,Binary
union#G31#Other degenerative diseases of nervous system not elsewhere classified,Binary
union#G310#Circumscribed brain atrophy,Binary
union#G312#Degeneration of nervous system due to alcohol,Binary
union#G318#Other specified degenerative diseases of nervous system,Binary
union#G319#Degenerative disease of nervous system unspecified,Binary
union#G32#Other degenerative disorders of nervous system in diseases classified elsewhere,Binary
union#G328#Other specified degenerative disorders of nervous system in diseases classified elsewhere,Binary
union#G35#Multiple sclerosis,Binary
union#G37#Other demyelinating diseases of central nervous system,Binary
union#G373#Acute transverse myelitis in demyelinating disease of central nervous system,Binary
union#G378#Other specified demyelinating diseases of central nervous system,Binary
union#G379#Demyelinating disease of central nervous system unspecified,Binary
union#G40#Epilepsy,Binary
union#G400#Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,Binary
union#G401#Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,Binary
union#G402#Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,Binary
union#G403#Generalized idiopathic epilepsy and epileptic syndromes,Binary
union#G405#Special epileptic syndromes,Binary
union#G406#Grand mal seizures unspecified (with or without petit mal),Binary
union#G407#Petit mal unspecified without grand mal seizures,Binary
union#G408#Other epilepsy,Binary
union#G409#Epilepsy unspecified,Binary
union#G41#Status epilepticus,Binary
union#G410#Grand mal status epilepticus,Binary
union#G419#Status epilepticus unspecified,Binary
union#G43#Migraine,Binary
union#G430#Migraine without aura [common migraine],Binary
union#G431#Migraine with aura [classical migraine],Binary
union#G433#Complicated migraine,Binary
union#G438#Other migraine,Binary
union#G439#Migraine unspecified,Binary
union#G44#Other headache syndromes,Binary
union#G440#Cluster headache syndrome,Binary
union#G442#Tension-type headache,Binary
union#G444#Drug-induced headache not elsewhere classified,Binary
